year,team,player,goals,shots,mins,gps
1999,BOS,Byron Dafoe,26,330,768,2.0699244539462147
1999,BUF,Dominik Hasek*,36,587,1217,4.826592498776663
1999,BUF,Dwayne Roloson,10,67,139,-0.10704682180604012
1999,CAR,Arturs Irbe,15,181,408,1.0527405397342935
1999,COL,Craig Billington,1,6,9,-0.021255210636633166
1999,COL,Patrick Roy*,52,650,1173,3.9891270728062986
1999,DAL,Ed Belfour*,43,617,1544,4.49693982221687
1999,DET,Bill Ranford,10,105,183,0.4656961515212574
1999,DET,Chris Osgood,14,172,358,1.0287791998450875
1999,DET,Norm Maracle,3,22,58,-0.003476897875447083
1999,EDM,Tommy Salo,11,149,296,1.0171839142119214
1999,MDA,Guy Hebert,15,124,208,0.19362607974334767
1999,MDA,Tom Askey,2,11,30,-0.057582604781879404
1999,NJD,Martin Brodeur*,20,139,425,-0.13873272606901443
1999,OTT,Damian Rhodes,6,65,150,0.3095620579299805
1999,OTT,Ron Tugnutt,6,41,118,-0.052170346276733504
1999,PHI,John Vanbiesbrouck,9,146,369,1.1953439870627054
1999,PHX,Nikolai Khabibulin,18,236,449,1.546645697643078
1999,PIT,Tom Barrasso,35,350,787,1.366173318923672
1999,SJS,Mike Vernon,13,172,321,1.140467511533399
1999,SJS,Steve Shields,6,36,60,-0.12753126381979904
1999,STL,Grant Fuhr*,31,305,790,1.1346783077893308
1999,STL,Jamie McLennan,0,7,37,0.10550528456029164
1999,TOR,Curtis Joseph,41,440,1011,2.0525399645689806
1999,TOR,Glenn Healy,0,5,20,0.07536091754306543
2000,BUF,Dominik Hasek*,12,147,301,0.8881663588163832
2000,COL,Patrick Roy*,31,431,1039,3.1339704922330336
2000,DAL,Ed Belfour*,45,651,1443,4.964656782395553
2000,DAL,Manny Fernandez,1,8,17,0.004393412291891781
2000,DET,Chris Osgood,18,237,547,1.6025407007084134
2000,EDM,Tommy Salo,14,133,297,0.4055147061568249
2000,FLA,Mike Vernon,12,136,237,0.7079722504938245
2000,LAK,Jamie Storr,2,25,36,0.15621836775678624
2000,LAK,Stephane Fiset,10,98,200,0.3387972092649231
2000,NJD,Martin Brodeur*,39,537,1450,3.857131658708849
2000,OTT,Tom Barrasso,16,168,372,0.7255458996613913
2000,PHI,Brian Boucher,40,484,1183,2.8622668339392767
2000,PHX,Sean Burke,16,167,296,0.7091646170866132
2000,PIT,Peter Skudra,1,11,20,0.05353726001622602
2000,PIT,Ron Tugnutt,22,398,746,3.7332998020223536
2000,SJS,Evgeni Nabokov,0,10,20,0.16381282574778075
2000,SJS,Steve Shields,36,323,696,0.7315077326253359
2000,STL,Roman Turek,19,161,415,0.2309063767189469
2000,TOR,Curtis Joseph,25,369,729,2.8782720624347897
2000,WSH,Craig Billington,1,6,20,-0.028369152857664386
2000,WSH,Olaf Kolzig,16,103,284,-0.33923746769918295
2001,BUF,Dominik Hasek*,29,347,833,2.280222544663915
2001,CAR,Arturs Irbe,20,201,360,0.9398469050838478
2001,COL,David Aebischer,0,0,1,0
2001,COL,Patrick Roy*,41,622,1451,5.394147533545666
2001,DAL,Ed Belfour*,25,277,671,1.6000866998791605
2001,DET,Chris Osgood,15,158,365,0.8246236641255671
2001,EDM,Tommy Salo,15,187,406,1.3035776053762909
2001,LAK,Felix Potvin,33,361,812,2.035481813240374
2001,LAK,Stephane Fiset,0,0,1,0
2001,NJD,Martin Brodeur*,52,507,1505,2.1859577641314067
2001,OTT,Patrick Lalime,10,99,251,0.4451499728220586
2001,PHI,Brian Boucher,3,17,37,-0.07620380311490652
2001,PHI,Roman Cechmanek,18,165,347,0.5832633295448932
2001,PIT,Jean-Sebastien Aubin,0,0,1,0
2001,PIT,Johan Hedberg,43,482,1123,2.8439761552871237
2001,SJS,Evgeni Nabokov,10,103,218,0.5112125854083654
2001,SJS,Miikka Kiprusoff,5,79,149,0.7097867542350422
2001,STL,Brent Johnson,2,36,62,0.3565835755389545
2001,STL,Roman Turek,31,382,908,2.620290467056294
2001,TOR,Curtis Joseph,24,329,685,2.577890632370052
2001,VAN,Bob Essensa,6,58,122,0.24396806928802764
2001,VAN,Dan Cloutier,9,57,117,-0.12951749046525932
2001,WSH,Olaf Kolzig,14,153,375,0.8610353672615867
2002,BOS,Byron Dafoe,19,141,358,-0.07180151313110841
2002,CAR,Arturs Irbe,30,480,1078,3.728334140829135
2002,CAR,Kevin Weekes,11,180,408,1.4267633314489538
2002,CHI,Jocelyn Thibault,7,77,159,0.3475041845085898
2002,CHI,Steve Passmore,6,62,138,0.23815324976718655
2002,COL,David Aebischer,1,14,34,0.0944240647885021
2002,COL,Patrick Roy*,52,572,1241,2.581459656349525
2002,DET,Dominik Hasek*,45,562,1455,3.234055758685315
2002,DET,Manny Legace,1,2,11,-0.08469837464631216
2002,LAK,Felix Potvin,15,201,417,1.2820191422514216
2002,LAK,Jamie Storr,0,0,1,0
2002,MTL,Jose Theodore,35,413,686,2.155473281224183
2002,MTL,Stephane Fiset,3,19,38,-0.060045814551220995
2002,NJD,Martin Brodeur*,9,145,381,1.1334271122016422
2002,NYI,Chris Osgood,17,193,392,0.9334999535239823
2002,NYI,Garth Snow,2,19,26,0.0545063000008935
2002,OTT,Patrick Lalime,18,332,778,2.893782762425133
2002,PHI,Brian Boucher,2,33,88,0.2634824793415101
2002,PHI,Roman Cechmanek,7,109,227,0.8251640230014281
2002,PHX,Sean Burke,13,133,297,0.4960962145583692
2002,SJS,Evgeni Nabokov,31,322,712,1.255336573718632
2002,SJS,Miikka Kiprusoff,0,2,8,0.029853739905802378
2002,STL,Brent Johnson,18,252,590,1.6996331661930375
2002,STL,Fred Brathwaite,0,0,1,0
2002,TOR,Corey Schwab,0,5,12,0.07463434976450596
2002,TOR,Curtis Joseph,48,557,1253,2.815765065264465
2002,VAN,Dan Cloutier,16,123,273,0.003171171373013837
2002,VAN,Peter Skudra,5,46,96,0.113875445072882
2003,BOS,Jeff Hackett,5,76,179,0.5631171740275861
2003,BOS,Steve Shields,6,58,119,0.17356988058987907
2003,COL,Patrick Roy*,16,177,423,0.8006586252707624
2003,DAL,Marty Turco,25,310,798,1.7567921660106498
2003,DET,Curtis Joseph,10,120,289,0.6422143690255583
2003,EDM,Jussi Markkanen,1,12,14,0.06422143690255581
2003,EDM,Tommy Salo,18,161,343,0.3240765252888568
2003,MDA,Jean-Sebastien Giguere,38,697,1407,6.0856900693639
2003,MDA,Martin Gerber,1,6,20,-0.02653230916549672
2003,MIN,Dwayne Roloson,25,257,579,0.9551340757428528
2003,MIN,Manny Fernandez,18,253,552,1.7156339649989967
2003,NJD,Corey Schwab,0,8,28,0.1210049947574034
2003,NJD,Martin Brodeur*,41,622,1491,4.599410077812596
2003,NYI,Garth Snow,12,134,305,0.6194009993839157
2003,NYI,Rick DiPietro,0,3,15,0.04537687303402628
2003,OTT,Patrick Lalime,34,449,1122,2.803679452818592
2003,PHI,Robert Esche,1,14,30,0.09447268559190672
