year,team,player,goals,shots,mins,gps,gps.sr
1999,BOS,Byron Dafoe,133,1800,4001,14.083642496434083,14.1
1999,BOS,Robbie Tallas,43,421,987,2.0036075930144963,2
1999,BUF,Dominik Hasek*,119,1877,3817,16.82246963128011,16.8
1999,BUF,Dwayne Roloson,42,460,911,2.729924952061839,2.7
1999,BUF,Martin Biron,10,120,281,0.8159396394339212,0.8
1999,CAR,Arturs Irbe,135,1753,3643,13.122091131529848,13.1
1999,CAR,Trevor Kidd,61,640,1358,3.5198231394655983,3.5
1999,CGY,Fred Brathwaite,68,796,1663,5.23156157835038,5.2
1999,CGY,Ken Wregget,67,712,1590,4.009386923125952,4
1999,CGY,Jean-Sebastien Giguere,46,447,860,2.089975499944531,2.1
1999,CGY,Tyler Moss,23,295,550,2.177647742008291,2.2
1999,CGY,Tyrone Garner,12,74,139,-0.1297703269802999,-0.1
1999,CGY,Andrei Trefilov,11,84,162,0.1371464758566239,0.1
1999,CHI,Jocelyn Thibault,136,1435,3014,7.976023593768501,8
1999,CHI,Mark Fitzpatrick,64,682,1403,3.859653422235861,3.9
1999,CHI,Jeff Hackett,33,256,524,0.474805021529929,0.5
1999,CHI,Andrei Trefilov,4,20,25,-0.11718330194683355,-0.1
1999,COL,Patrick Roy*,139,1673,3648,11.420767980581575,11.4
1999,COL,Craig Billington,52,492,1086,2.1518215243744954,2.2
1999,COL,Marc Denis,9,110,217,0.7660284724705578,0.8
1999,DAL,Ed Belfour*,117,1373,3536,9.055410428186434,9.1
1999,DAL,Roman Turek,48,562,1382,3.694730690422621,3.7
1999,DAL,Manny Fernandez,2,29,60,0.24239492033685608,0.2
1999,DET,Chris Osgood,149,1654,3691,10.034753229903501,10
1999,DET,Norm Maracle,31,379,821,2.640302671675256,2.6
1999,DET,Bill Ranford,8,98,244,0.6844345085271658,0.7
1999,DET,Kevin Hodson,9,79,175,0.2749451192801125,0.3
1999,EDM,Bob Essensa,96,974,2091,5.013251607343087,5
1999,EDM,Mikhail Shtalenkov,81,782,1819,3.599245366312032,3.6
1999,EDM,Tommy Salo,27,279,700,1.490174094420941,1.5
1999,EDM,Steve Passmore,17,183,362,1.0544280187473642,1.1
1999,FLA,Sean Burke,151,1624,3402,9.342505639329508,9.3
1999,FLA,Kirk McLean,73,727,1597,3.595990992855485,3.6
1999,LAK,Stephane Fiset,104,1217,2403,7.99468889692233,8
1999,LAK,Jamie Storr,61,724,1525,4.8505006126268055,4.9
1999,LAK,Manny Legace,39,439,899,2.7227640375818773,2.7
1999,LAK,Ryan Bach,8,66,108,0.17750975684670614,0.2
1999,MDA,Guy Hebert,165,2114,4083,15.585751448321627,15.6
1999,MDA,Dominic Roussel,37,478,884,3.5575842145659964,3.6
1999,MTL,Jeff Hackett,117,1360,3091,8.849472247816244,8.8
1999,MTL,Jose Theodore,50,406,913,1.0064668901068197,1
1999,MTL,Jocelyn Thibault,23,250,529,1.4647848099576453,1.5
1999,MTL,Frederic Chabot,16,188,430,1.2421378291342162,1.2
1999,NJD,Martin Brodeur*,162,1728,4239,9.79648008498642,9.8
1999,NJD,Chris Terreri,30,294,726,1.4022866179608158,1.4
1999,NSH,Mike Dunham,127,1387,2472,8.192161827678826,8.2
1999,NSH,Tomas Vokoun,96,1041,1954,6.074625306174052,6.1
1999,NSH,Chris Mason,6,44,69,0.04600462593995049,0
1999,NSH,Eric Fichaud,24,229,447,1.0236126237305634,1
1999,NYI,Tommy Salo,132,1368,3018,7.348661166684657,7.3
1999,NYI,Wade Flaherty,53,491,1048,2.0274773079477004,2
1999,NYI,Felix Potvin,37,345,606,1.450678215394086,1.5
