year,team,player,pos,goals,assists,plus.minus,toi,dps,ops,dps.sr,ops.sr
1999,BOS,Jason Allison,C,23,53,5,1835,2.6499105953435365,NA,5.3,2.6
1999,BOS,Dmitri Khristich,LW,29,42,11,1562,2.745144662024355,NA,6.1,2.5
1999,BOS,Ray Bourque*,D,10,47,-7,2391,5.821085629812414,NA,4.5,5.6
1999,BOS,Sergei Samsonov,LW,25,26,-6,1294,1.6885153235849206,NA,4.3,1.5
1999,BOS,Joe Thornton,C,16,25,3,1243,1.7800139811791607,NA,2.5,1.8
1999,BOS,Anson Carter,C,24,16,7,1030,1.6499165708435737,NA,3.8,1.6
1999,BOS,Steve Heinze,RW,22,18,7,1153,1.6333478762735147,NA,3.3,1.8
1999,BOS,Kyle McLaren,D,6,18,1,1218,3.3191851823421037,NA,1.9,3.2
1999,BOS,Rob DiMaio,C,7,14,-14,1185,1.0436136174150537,NA,-0.3,1
1999,BOS,Darren Van Impe,D,5,15,-5,1074,2.470919922865642,NA,1.5,2.4
1999,BOS,P.J. Axelsson,LW,7,10,-14,1281,1.35920798508329,NA,-0.9,1.2
1999,BOS,Peter Ferraro,C,6,8,10,469,1.0152686249286296,NA,0.8,1
1999,BOS,Grant Ledyard,D,4,8,-8,823,1.5703822953064834,NA,0.8,1.5
1999,BOS,Don Sweeney,D,2,10,14,1581,5.292828746713546,NA,-0.2,5.2
1999,BOS,Tim Taylor,C,4,7,-10,781,0.6578618677917868,NA,-0.5,0.7
1999,BOS,Hal Gill,D,3,7,-10,1672,3.6749751587884805,NA,-0.3,3.5
1999,BOS,Shawn Bates,C,5,4,3,283,0.49504976276988105,NA,0.7,0.5
1999,BOS,Chris Taylor,C,3,5,-3,533,0.5971698228780067,NA,-0.3,0.6
1999,BOS,Cameron Mann,RW,5,2,0,352,0.41583345417511763,NA,0.3,0.5
1999,BOS,Landon Wilson,RW,3,3,0,221,0.2610772538997187,NA,0.3,0.3
