X1,year,team,games,wins,points,goals,goals.against,team.dps,team.ops,team.gps,dps.avg,ops.avg,gps.avg,team.ps,dps.prop,dps.prop.adj,ops.prop,ops.prop.adj,dps.full.prop,dps.full.prop.adj
1,1999,BOS,82,39,91,214,181,45.87991511918217,NA,16.087250089448577,0.5595111599900265,NA,0.1961859767005924,NA,NA,NA,NA,NA,NA,NA
2,1999,BUF,82,37,91,207,175,45.277544751737835,NA,20.36833422277587,0.5521651798992419,NA,0.24839431978994966,NA,NA,NA,NA,NA,NA,NA
3,1999,CAR,82,34,86,210,202,38.69049866107166,NA,16.641914270995446,0.4718353495252641,NA,0.20295017403652985,NA,NA,NA,NA,NA,NA,NA
4,1999,CGY,82,30,72,211,234,30.554998352563953,NA,13.515947892305478,0.3726219311288287,NA,0.16482863283299365,NA,NA,NA,NA,NA,NA,NA
5,1999,CHI,82,29,70,202,248,27.998125535807905,NA,12.193298735587458,0.34144055531473055,NA,0.14869876506813973,NA,NA,NA,NA,NA,NA,NA
6,1999,COL,82,44,98,239,205,38.489010330611045,NA,14.338617977426628,0.4693781747635493,NA,0.17486119484666618,NA,NA,NA,NA,NA,NA,NA
7,1999,DAL,82,51,114,236,168,50.92018300266566,NA,12.99253603894591,0.6209778414959227,NA,0.15844556145055988,NA,NA,NA,NA,NA,NA,NA
8,1999,DET,82,43,93,245,202,38.30028524833058,NA,13.634435529386035,0.46707664936988513,NA,0.16627360401690286,NA,NA,NA,NA,NA,NA,NA
9,1999,EDM,82,33,78,230,226,33.31825371726998,NA,11.157099086823425,0.4063201672837803,NA,0.13606218398565154,NA,NA,NA,NA,NA,NA,NA
10,1999,FLA,82,30,78,210,228,31.807829867110854,NA,12.938496632184993,0.3879003642330592,NA,0.15778654429493894,NA,NA,NA,NA,NA,NA,NA
11,1999,LAK,82,32,69,189,222,34.28739330368434,NA,15.745463303977719,0.4181389427278578,NA,0.19201784517045997,NA,NA,NA,NA,NA,NA,NA
12,1999,MDA,82,35,83,215,206,35.87315058058165,NA,19.143335662887623,0.4374774461046543,NA,0.23345531296204416,NA,NA,NA,NA,NA,NA,NA
13,1999,MTL,82,32,75,184,209,37.73747836468834,NA,12.562861777014925,0.46021315078888225,NA,0.15320563142701127,NA,NA,NA,NA,NA,NA,NA
14,1999,NJD,82,47,105,248,196,42.315273511283905,NA,11.198766702947236,0.5160399208693159,NA,0.136570325645698,NA,NA,NA,NA,NA,NA,NA
15,1999,NSH,82,28,63,190,261,22.43931509529844,NA,15.33640438352339,0.2736501840890054,NA,0.18702932175028525,NA,NA,NA,NA,NA,NA,NA
16,1999,NYI,82,24,58,194,244,28.570245742414986,NA,11.19290365922323,0.3484176310050608,NA,0.1364988251124784,NA,NA,NA,NA,NA,NA,NA
17,1999,NYR,82,33,77,217,227,32.3278086020161,NA,15.334454345200577,0.3942415683172695,NA,0.187005540795129,NA,NA,NA,NA,NA,NA,NA
18,1999,OTT,82,44,103,239,179,47.188964434564404,NA,13.615991925006341,0.5754751760312732,NA,0.16604868201227246,NA,NA,NA,NA,NA,NA,NA
19,1999,PHI,82,37,93,231,196,43.9784575126045,NA,8.8383983279351,0.5363226525927378,NA,0.10778534546262317,NA,NA,NA,NA,NA,NA,NA
20,1999,PHX,82,39,90,205,197,41.76289728063492,NA,14.900880006623956,0.5093036253735965,NA,0.18171804886126774,NA,NA,NA,NA,NA,NA,NA
21,1999,PIT,82,38,90,242,225,34.114922748093186,NA,10.239817543932686,0.4160356432694291,NA,0.12487582370649616,NA,NA,NA,NA,NA,NA,NA
22,1999,SJS,82,31,80,196,191,NA,NA,14.766987904223884,NA,NA,0.1800852183441937,NA,NA,NA,NA,NA,NA,NA
23,1999,STL,82,37,87,237,209,40.538926948363894,NA,7.37795052779359,0.49437715790687675,NA,0.0899750064365072,NA,NA,NA,NA,NA,NA,NA
24,1999,TBL,82,19,47,179,292,14.004253596495209,NA,10.49088648390182,0.17078358044506353,NA,0.12793764004758318,NA,NA,NA,NA,NA,NA,NA
25,1999,TOR,82,45,97,268,231,31.428298827567414,NA,12.861676611228242,0.3832719369215538,NA,0.15684971477107612,NA,NA,NA,NA,NA,NA,NA
26,1999,VAN,82,23,58,192,258,24.048402811728902,NA,10.67903322745917,0.29327320502108417,NA,0.13023211252998987,NA,NA,NA,NA,NA,NA,NA
27,1999,WSH,82,31,68,200,218,35.295879036542225,NA,11.035794009456819,0.4304375492261247,NA,0.13458285377386364,NA,NA,NA,NA,NA,NA,NA
28,2000,ATL,82,14,39,170,313,13.956980384778578,30.368368914800637,8.06966458032566,0.1702070778631534,0.3703459623756175,0.09841054366250807,52.39501387990488,0.2663799348687932,-0.0621275270761395,0.5796041773060366,0.02285420560202922,0.4203958226939633,-0.02285420560202922
29,2000,BOS,82,24,73,210,248,32.018831724018995,54.564844920339354,10.249754972499343,0.39047355760998775,0.6654249380529189,0.12499701185974808,96.8334316168577,0.3306588560313383,0.0021513940864056336,0.5634918024617459,0.006741830757738487,0.4365081975382541,-0.006741830757738432
